cep,uf,cidade,bairro,logradouro,lat,lng,city_source,geo_source,updated_at
58407503,PB,Campina Grande,José Pinheiro,Rua João Lélis,-7.2288631,-35.8716417,brasilapi,brasilapi,2026-02-23T23:49:54.319Z
58595000,PB,Caraúbas,,,-7.72073,-36.49401,brasilapi,open-meteo,2026-02-23T23:49:54.699Z
58610000,PB,São José do Sabugi,,,-6.77556,-36.79889,brasilapi,open-meteo,2026-02-23T23:49:55.077Z
58703000,PB,Patos,Liberdade,Rua do Prado,-7.02444,-37.28,brasilapi,open-meteo,2026-02-23T23:49:55.456Z
58735000,PB,Teixeira,,,-7.221036,-37.252477,brasilapi,brasilapi,2026-02-23T23:49:55.652Z
58763000,PB,Emas,,,-7.10778,-37.71556,brasilapi,open-meteo,2026-02-23T23:49:56.020Z
58925000,PB,Santa Helena,,,-7.09293,-35.14952,brasilapi,open-meteo,2026-02-23T23:49:56.404Z
59104210,RN,Natal,Igapó,Rua Alvorada,-5.7718468,-35.2605897,brasilapi,brasilapi,2026-02-23T23:49:56.595Z
59108120,RN,Natal,Potengi,Avenida Paulistana,-5.795,-35.20944,brasilapi,open-meteo,2026-02-23T23:49:56.987Z
59133090,RN,Natal,Pajuçara,Avenida Moema Tinoco da Cunha Lima,-5.7371015,-35.2268554,brasilapi,brasilapi,2026-02-23T23:49:56.825Z
59152600,RN,Parnamirim,Nova Parnamirim,Avenida Maria Lacerda Montenegro,-5.8892189,-35.2080751,brasilapi,brasilapi,2026-02-23T23:49:57.013Z
59200000,RN,Santa Cruz,,,-6.224752,-36.019297,brasilapi,brasilapi,2026-02-23T23:49:57.213Z
59275000,RN,São José do Campestre,,,-6.3148531,-35.7128188,brasilapi,brasilapi,2026-02-23T23:49:57.196Z
59280000,RN,Macaíba,,,-5.85833,-35.35389,brasilapi,open-meteo,2026-02-23T23:49:57.571Z
59280055,RN,Macaíba,Fabrício Pedroza,Rua Estevam Moura,-5.85833,-35.35389,brasilapi,open-meteo,2026-02-23T23:49:58.119Z
59281720,RN,Macaíba,Zona de Expansão Urbana Sul,Rua Alameda de Santo Antônio,-5.85833,-35.35389,brasilapi,open-meteo,2026-02-23T23:49:57.768Z
59288899,RN,Macaíba,Área Rural de Macaíba,Área Rural,-5.85833,-35.35389,brasilapi,open-meteo,2026-02-23T23:49:57.965Z
59300000,RN,Caicó,,,-6.4594544,-37.0971911,brasilapi,brasilapi,2026-02-23T23:49:58.154Z
59338000,RN,Tenente Laurentino Cruz,,,-6.14806,-36.71917,brasilapi,open-meteo,2026-02-23T23:49:58.491Z
59340000,RN,São Vicente,,,-23.96306,-46.39194,brasilapi,open-meteo,2026-02-23T23:49:58.522Z
59380000,RN,Currais Novos,,,-6.26083,-36.51778,brasilapi,open-meteo,2026-02-23T23:49:58.888Z
59390000,RN,Lagoa Nova,,,-6.09401,-36.47219,brasilapi,open-meteo,2026-02-23T23:49:58.908Z
59625631,RN,Mossoró,Pintos,Rua Genésio Caetano de Souza,-5.1875,-37.34417,brasilapi,open-meteo,2026-02-23T23:49:59.264Z
59628394,RN,Mossoró,Presidente Costa e Silva,Rua Sabino Maciel Júnior,-5.2196642,-37.3186001,brasilapi,brasilapi,2026-02-23T23:49:59.106Z
